state,candidate,percent_chance,date,url
massachusetts,Warren,31,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
massachusetts,Sanders,23,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
massachusetts,Buttigieg,12,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
massachusetts,Klobuchar,0.5,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
massachusetts,Bloomberg,0.4,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
massachusetts,Steyer,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
massachusetts,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
massachusetts,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
massachusetts,Delaney,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
massachusetts,Patrick,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
massachusetts,Bennet,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/massachusetts
michigan,Biden,47,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
michigan,Sanders,26,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
michigan,Warren,16,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
michigan,Buttigieg,10,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
michigan,Klobuchar,0.5,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
michigan,Bloomberg,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
michigan,Steyer,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
michigan,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
michigan,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
michigan,Delaney,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
michigan,Patrick,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
michigan,Bennet,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/michigan
minnesota,Biden,31,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
minnesota,Sanders,25,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
minnesota,Warren,20,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
minnesota,Buttigieg,14,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
minnesota,Klobuchar,9,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
minnesota,Bloomberg,0.4,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
minnesota,Steyer,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
minnesota,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
minnesota,Delaney,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
minnesota,Patrick,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
minnesota,Gabbard,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
minnesota,Bennet,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/minnesota
mississippi,Biden,65,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/mississippi
mississippi,Sanders,17,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/mississippi
mississippi,Warren,10,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/mississippi
